"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/Users/rikka/prjs/nekonet/Cargo.lock", "TOML", 0, 70, 2, 11, 83
"/Users/rikka/prjs/nekonet/Cargo.toml", "TOML", 0, 7, 1, 3, 11
"/Users/rikka/prjs/nekonet/src/dev/mod.rs", "Rust", 1, 0, 0, 0, 1
"/Users/rikka/prjs/nekonet/src/dev/tensor.rs", "Rust", 44, 0, 0, 8, 52
"/Users/rikka/prjs/nekonet/src/lib.rs", "Rust", 1, 0, 1, 2, 4
"/Users/rikka/prjs/nekonet/src/main.rs", "Rust", 20, 0, 0, 6, 26
"/Users/rikka/prjs/nekonet/src/tensor.rs", "Rust", 258, 0, 0, 56, 314
"/Users/rikka/prjs/nekonet/src/tensor/layer.rs", "Rust", 33, 0, 0, 7, 40
"/Users/rikka/prjs/nekonet/src/tensor/layer/activation.rs", "Rust", 24, 0, 0, 7, 31
"/Users/rikka/prjs/nekonet/src/tensor/layer/criterion.rs", "Rust", 44, 0, 0, 8, 52
"/Users/rikka/prjs/nekonet/src/tensor/operation.rs", "Rust", 62, 0, 0, 13, 75
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func.rs", "Rust", 66, 0, 0, 10, 76
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func/basic.rs", "Rust", 439, 0, 0, 83, 522
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func/compound.rs", "Rust", 119, 0, 0, 23, 142
"/Users/rikka/prjs/nekonet/src/tensor/types.rs", "Rust", 4, 0, 0, 0, 4
"/Users/rikka/prjs/nekonet/src/tensor/util.rs", "Rust", 9, 0, 0, 1, 10
"/Users/rikka/prjs/nekonet/tests/test_activations.rs", "Rust", 28, 0, 0, 7, 35
"/Users/rikka/prjs/nekonet/tests/test_layers.rs", "Rust", 22, 0, 0, 6, 28
"/Users/rikka/prjs/nekonet/tests/test_operations.rs", "Rust", 126, 0, 0, 30, 156
"Total", "-", 1300, 77, 4, 281, 1662
