"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/Users/rikka/prjs/nekonet/Cargo.lock", "TOML", 0, 105, 2, 16, 123
"/Users/rikka/prjs/nekonet/Cargo.toml", "TOML", 0, 8, 1, 3, 12
"/Users/rikka/prjs/nekonet/src/dev/mod.rs", "Rust", 1, 0, 0, 0, 1
"/Users/rikka/prjs/nekonet/src/dev/tensor.rs", "Rust", 44, 0, 0, 8, 52
"/Users/rikka/prjs/nekonet/src/graph.rs", "Rust", 36, 0, 3, 9, 48
"/Users/rikka/prjs/nekonet/src/layer.rs", "Rust", 43, 0, 0, 10, 53
"/Users/rikka/prjs/nekonet/src/layer/activation.rs", "Rust", 21, 0, 0, 6, 27
"/Users/rikka/prjs/nekonet/src/layer/criterion.rs", "Rust", 51, 0, 0, 9, 60
"/Users/rikka/prjs/nekonet/src/lib.rs", "Rust", 4, 0, 1, 2, 7
"/Users/rikka/prjs/nekonet/src/main.rs", "Rust", 45, 0, 0, 18, 63
"/Users/rikka/prjs/nekonet/src/optimizer.rs", "Rust", 37, 0, 0, 7, 44
"/Users/rikka/prjs/nekonet/src/tensor.rs", "Rust", 235, 0, 15, 58, 308
"/Users/rikka/prjs/nekonet/src/tensor/operation.rs", "Rust", 62, 0, 0, 14, 76
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func.rs", "Rust", 50, 0, 0, 12, 62
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func/basic.rs", "Rust", 437, 0, 0, 84, 521
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func/compound.rs", "Rust", 118, 0, 0, 23, 141
"/Users/rikka/prjs/nekonet/src/tensor/types.rs", "Rust", 4, 0, 0, 1, 5
"/Users/rikka/prjs/nekonet/src/tensor/util.rs", "Rust", 9, 0, 0, 2, 11
"/Users/rikka/prjs/nekonet/tests/test_activation.rs", "Rust", 23, 0, 0, 9, 32
"/Users/rikka/prjs/nekonet/tests/test_criterion.rs", "Rust", 31, 0, 0, 14, 45
"/Users/rikka/prjs/nekonet/tests/test_layer.rs", "Rust", 17, 0, 0, 6, 23
"/Users/rikka/prjs/nekonet/tests/test_operation.rs", "Rust", 141, 0, 0, 48, 189
"/Users/rikka/prjs/nekonet/tests/test_optimizer.rs", "Rust", 32, 0, 0, 13, 45
"Total", "-", 1441, 113, 22, 372, 1948
